DVD,Season,Episode,DVD Title,Episode Name
1,1,1,2,Maidens with Black Hands
1,1,2,3,Daily Bread
1,1,3,4,The Assassination Play
1,1,4,10,The Sound of Waves
1,1,5,11,Les Soldats
2,1,6,2,Lost Kitten
2,1,7,3,The Black Thread of Fate
2,1,8,9,Intoccabile Acte I
2,1,9,10,Intoccabile Acte II
3,1,10,2,The True Noir
3,1,11,3,Moonlit Tea Party
3,1,12,4,Assassination Mission
4,1,13,2,Season of Hell
4,1,14,3,A Bouquet of Flowers for Mireille
4,1,15,10,The Cold-Blooded Killer Acte I
4,1,16,13,The Cold-Blooded Killer Acte II
5,1,17,2,Return to Corsica
5,1,18,3,The Darkness Within Me
5,1,19,10,The Two Hands of the Soldats
6,1,20,2,The Sin Within the Sin
6,1,21,3,Morning Without Dawn
6,1,22,10,Journey’s End
6,1,23,11,Sentiments for the Remaining Flower
7,1,24,2,Dark Return
7,1,25,3,The Depths of Hell’s Fire
7,1,26,13,Birth
